Seq,R_kpc,Diam_pc,Age_Myr,Mass_1e4Msun,DV_kms,dotE_erg_cm3_s,dotE_1e-28
1,12.85,276.0,7.3,12.2,18.6,2.6987894345815405e-27,26.987894345815402
2,10.85,212.0,12.6,5.5,8.2,3.023052259161389e-28,3.023052259161389
3,14.57,237.0,7.0,1.6,16.5,4.587522227616729e-28,4.587522227616729
4,12.77,150.0,5.1,2.9,14.4,3.4285652361605085e-27,34.28565236160508
5,10.85,325.0,11.0,22.0,14.4,1.1856002587084004e-27,11.856002587084003
6,10.16,630.0,12.5,214.5,24.7,4.108875007368334e-27,41.088750073683336
7,14.87,302.0,,12.6,,,
8,11.98,670.0,26.5,223.6,12.4,4.233292488582786e-28,4.233292488582786
9,15.27,,,,,,
10,15.49,430.0,25.5,25.4,8.2,8.26702522339217e-29,0.8267025223392169
11,14.76,317.0,,15.4,,,
12,8.45,75.0,2.2,0.2,16.5,5.757378764026716e-27,57.573787640267156
13,11.65,161.0,6.4,5.8,12.4,3.276778989442693e-27,32.767789894426926
14,14.47,190.0,7.5,3.5,12.4,1.0266507692774647e-27,10.266507692774647
15,15.84,261.0,,6.1,,,
16,8.03,600.0,,103.8,,,
17,13.63,367.0,8.7,29.3,20.6,2.8373832733718804e-27,28.373832733718803
18,10.4,261.0,,14.6,,,
19,10.87,550.0,21.7,133.2,12.4,5.567153311327864e-28,5.567153311327863
20,11.35,566.0,11.2,145.0,24.7,4.2749198933337634e-27,42.74919893333763
21,13.19,113.0,6.7,1.0,8.2,6.825759152592465e-28,6.825759152592465
22,1.74,98.0,3.9,0.6,12.4,2.4665230314234197e-27,24.665230314234197
23,13.82,245.0,9.7,9.6,12.4,1.0154955029167598e-27,10.154955029167597
24,7.49,518.0,30.7,76.5,8.2,1.183027591469747e-28,1.183027591469747
25,12.54,359.0,8.5,16.9,20.6,1.7895847175954238e-27,17.895847175954238
26,7.53,228.0,7.7,7.2,14.4,1.6054456321873018e-27,16.05445632187302
27,15.41,180.0,,2.0,,,
28,10.81,80.0,3.2,0.4,12.4,3.6839761578233795e-27,36.83976157823379
29,11.15,118.0,4.7,4.9,12.4,9.574783417794685e-27,95.74783417794684
30,11.06,77.0,2.6,0.2,14.4,3.428805456726973e-27,34.28805456726973
31,15.78,,,,12.4,,
32,13.44,150.0,8.9,1.5,8.2,3.2952515159444693e-28,3.2952515159444693
33,12.06,80.0,2.7,0.3,14.4,4.41617121104322e-27,44.1617121104322
34,6.27,261.0,,8.5,,,
35,10.87,191.0,5.0,3.5,18.6,3.41080754642992e-27,34.1080754642992
36,11.51,310.0,18.4,10.2,8.2,1.2278868844056302e-28,1.22788688440563
37,8.62,104.0,3.5,1.0,14.4,5.168806931450547e-27,51.68806931450546
38,7.94,,,,12.4,,
39,8.04,177.0,8.4,3.8,10.3,8.493610658994317e-28,8.493610658994317
40,11.17,361.0,14.3,25.7,12.4,5.764375172232093e-28,5.764375172232093
41,7.9,173.0,6.8,2.9,12.4,1.2428752352200457e-27,12.428752352200457
42,8.71,,,,14.4,,
43,8.79,286.0,16.9,21.3,8.2,3.555133327940001e-28,3.5551333279400006
44,7.41,94.0,,0.5,,,
45,9.61,632.0,15.0,243.1,20.6,2.673685336110787e-27,26.73685336110787
46,12.89,678.0,16.1,170.9,20.6,1.418387627573464e-27,14.183876275734638
47,11.43,247.0,14.6,8.9,8.2,2.6693614505394025e-28,2.6693614505394025
48,9.84,261.0,8.8,19.5,14.4,2.5362309025084575e-27,25.362309025084574
49,8.88,183.0,5.4,5.5,16.5,4.44034727728802e-27,44.4034727728802
50,9.12,,,,12.4,,
51,12.8,273.0,16.2,14.0,8.2,2.80276169404695e-28,2.80276169404695
52,11.32,525.0,10.4,86.3,24.7,3.43341927727056e-27,34.3341927727056
53,10.4,167.0,7.9,4.7,10.3,1.329931250438259e-27,13.29931250438259
54,9.21,657.0,26.0,285.9,12.4,5.850883591398246e-28,5.8508835913982455
55,8.87,167.0,5.7,4.0,14.4,3.0661549251451565e-27,30.661549251451564
56,9.69,98.0,5.8,0.9,8.2,1.0879210553196738e-27,10.879210553196737
57,11.19,162.0,7.7,4.1,10.3,1.3039349491754844e-27,13.039349491754843
58,13.91,133.0,,1.0,,,
59,8.27,139.0,5.5,2.4,12.4,2.451776681777812e-27,24.51776681777812
60,7.34,470.0,13.9,38.0,16.5,7.035200829267161e-28,7.03520082926716
61,8.64,302.0,11.9,18.0,12.4,8.286697273439542e-28,8.286697273439541
62,9.25,610.0,14.5,197.3,20.6,2.4965335526022194e-27,24.965335526022194
63,10.67,457.0,27.1,91.7,8.2,2.3394433752830113e-28,2.339443375283011
64,12.24,141.0,6.7,2.5,10.3,1.3858483398151164e-27,13.858483398151163
65,8.16,183.0,7.2,5.2,12.4,1.7782562215127427e-27,17.782562215127427
66,9.6,520.0,12.3,154.1,20.6,3.710695568607792e-27,37.10695568607792
67,11.99,148.0,5.9,2.0,12.4,1.5778641056326163e-27,15.778641056326162
68,13.01,228.0,9.0,4.7,12.4,6.648559600424499e-28,6.648559600424498
69,13.01,1183.0,663.3,1165.2,,,
70,8.43,113.0,6.7,1.2,8.2,8.190910983110956e-28,8.190910983110955
71,9.13,477.0,18.9,95.9,12.4,7.054697961483504e-28,7.0546979614835035
72,10.35,98.0,2.6,1.0,18.6,1.387419205175674e-26,138.7419205175674
73,12.05,,,,12.4,,
74,9.96,110.0,2.9,1.5,18.6,1.319393932634276e-26,131.9393932634276
75,10.73,144.0,5.7,2.7,12.4,2.393746691243262e-27,23.93746691243262
76,10.38,212.0,,13.0,,,
77,11.65,190.0,4.5,7.3,20.6,9.84957230591048e-27,98.4957230591048
78,12.63,125.0,3.7,1.4,16.5,5.1760391136914775e-27,51.76039113691478
79,11.1,150.0,,4.2,,,
80,9.55,297.0,7.1,23.5,20.6,5.261480859334166e-27,52.61480859334166
81,14.64,148.0,4.4,1.7,16.5,3.1842882596457528e-27,31.842882596457528
82,11.3,398.0,11.8,47.6,16.5,1.7095311006388494e-27,17.095311006388492
83,8.81,,,,10.3,,
84,16.26,150.0,7.1,1.6,10.3,6.951774796706154e-28,6.951774796706154
85,9.23,179.0,10.6,4.6,8.2,4.992912632774097e-28,4.992912632774097
86,9.82,167.0,6.6,4.0,12.4,1.9635564947469632e-27,19.635564947469632
87,10.23,281.0,,35.2,,,
88,10.27,53.0,3.1,0.1,8.2,1.4297884702567413e-27,14.297884702567412
89,9.69,,,,28.9,,
90,5.94,240.0,9.5,4.4,12.4,5.05559301190577e-28,5.055593011905771
91,10.31,271.0,8.2,35.1,16.5,5.746278468551047e-27,57.46278468551047
92,10.6,98.0,11.6,0.9,4.1,1.3599013191495923e-28,1.3599013191495921
93,12.29,183.0,10.9,5.8,8.2,5.729402321319917e-28,5.729402321319917
94,9.3,210.0,,7.6,,,
95,20.44,167.0,6.6,1.1,12.4,5.399780360554149e-28,5.399780360554149
96,10.07,200.0,5.9,10.7,16.5,6.0567975285356526e-27,60.567975285356525
97,15.28,281.0,,12.5,,,
98,16.29,339.0,10.1,16.1,16.5,1.0932177753327334e-27,10.932177753327334
99,12.27,233.0,9.2,13.4,12.4,1.7375046148127316e-27,17.375046148127314
100,9.81,268.0,10.6,15.0,12.4,1.1093223691990054e-27,11.093223691990055
101,12.2,69.0,,0.3,,,
102,11.16,265.0,7.9,18.4,16.5,3.343908512112709e-27,33.439085121127086
103,12.98,410.0,16.2,59.1,12.4,7.987256933089736e-28,7.987256933089736
104,16.58,69.0,2.7,0.1,12.4,1.7012405367826967e-27,17.012405367826968
105,14.34,,,,8.2,,
106,16.36,338.0,20.1,14.2,8.2,1.207266860438357e-28,1.207266860438357
107,9.65,290.0,13.7,19.5,10.3,6.076141630534923e-28,6.076141630534923
108,10.88,11.0,2.3,0.5,16.5,4.3638055445091096e-24,43638.05544509109
109,11.93,134.0,5.3,2.6,12.4,3.0765207039119084e-27,30.765207039119083
110,9.93,140.0,4.2,2.9,16.5,6.723042820504764e-27,67.23042820504763
111,18.51,160.0,,0.6,,,
112,9.79,155.0,,4.3,,,
113,11.06,110.0,3.2,1.7,16.5,1.0664049799394139e-26,106.64049799394138
114,16.97,693.0,41.1,129.4,8.2,6.242432340315498e-29,0.6242432340315498
115,11.4,350.0,13.8,47.0,12.4,1.1986472609031892e-27,11.986472609031892
116,9.57,170.0,6.7,4.5,12.4,2.0628502675205455e-27,20.628502675205453
117,11.55,104.0,3.1,1.1,16.5,8.428149883149351e-27,84.28149883149351
118,10.44,113.0,6.7,1.5,8.2,1.0238638728888696e-27,10.238638728888697
119,9.93,71.0,4.6,0.4,8.2,1.603201855180368e-27,16.03201855180368
120,17.71,487.0,,25.2,,,
121,9.79,198.0,11.7,8.9,8.2,6.466505739318335e-28,6.466505739318335
122,11.0,190.0,5.6,6.6,16.5,4.590884668135603e-27,45.908846681356025
123,10.79,257.0,12.2,22.5,10.3,1.1311785346999389e-27,11.311785346999388
124,15.11,159.0,6.3,2.4,12.4,1.4300659892725682e-27,14.300659892725681
125,17.44,261.0,10.3,5.7,12.4,4.696700509297718e-28,4.696700509297718
126,10.56,170.0,6.7,4.1,12.4,1.879485799296497e-27,18.79485799296497
127,11.71,283.0,6.7,19.2,20.6,5.265443398777835e-27,52.65443398777835
128,10.79,771.0,4.6,0.5,8.2,1.5649848286807582e-30,0.015649848286807582
129,10.39,104.0,4.1,1.2,12.4,3.926215472884804e-27,39.26215472884804
130,9.58,670.0,15.9,213.3,20.6,1.8575356273982893e-27,18.57535627398289
131,17.74,98.0,,0.2,,,
132,9.26,470.0,18.6,49.9,12.4,3.8991575741550203e-28,3.89915757415502
133,13.73,196.0,11.6,4.2,8.2,3.1731030780157147e-28,3.1731030780157146
134,9.53,49.0,2.9,0.1,8.2,1.9340818761238644e-27,19.340818761238644
135,11.01,,,,,,
136,16.34,265.0,,8.5,,,
137,9.63,,,,,,
138,10.21,179.0,10.6,5.9,8.2,6.403953159427648e-28,6.4039531594276475
139,10.27,297.0,7.8,21.2,18.6,3.522339290504726e-27,35.223392905047255
140,11.73,113.0,4.5,1.1,12.4,2.556357565014308e-27,25.56357565014308
141,10.93,161.0,,3.3,,,
